year,gmst_anomaly,gmst_uncertainty
1898,-0.0636078431372549,0.24420670888955257
1899,0.06389215686274513,0.23636042392921874
1900,0.1626421568627451,0.24963490007074998
1901,0.0651421568627451,0.24364506288178028
1902,-0.07844117647058821,0.19847480948473034
1903,-0.18952450980392152,0.21249098020072915
1904,-0.2461078431372549,0.2350242895248631
1905,-0.10177450980392153,0.2018951873291354
1906,0.024975490196078448,0.2083514658775727
1907,-0.18119117647058822,0.20090441342422852
1908,-0.23010784313725488,0.22669105260978725
1909,-0.2372745098039216,0.17610389925647116
1910,-0.21310784313725492,0.20430247184016156
1911,-0.2120245098039216,0.1542722161202939
1912,-0.11085784313725486,0.20678188992269125
1913,-0.12619117647058822,0.19477957627362613
1914,0.03730882352941178,0.19738984269713575
1915,0.11230882352941178,0.23520558383394444
1916,-0.11885784313725486,0.19207442134061822
1917,-0.25369117647058825,0.25377483458110395
1918,-0.11227450980392159,0.2355380365602691
1919,-0.058607843137254895,0.23100180374476154
1920,0.022558823529411798,0.18948174934102052
1921,0.06630882352941178,0.19296221564510152
1922,-0.018524509803921563,0.20073842847513443
1923,0.030058823529411777,0.15803216972080927
1924,0.007975490196078433,0.18300979026634978
1925,0.042642156862745084,0.16893711847903647
1926,0.16897549019607844,0.18145798411753614
1927,0.10022549019607846,0.167110243053301
1928,0.09055882352941177,0.17558165242036727
1929,-0.06102450980392157,0.14232328223683807
1930,0.1676421568627451,0.14956186011146022
1931,0.19405882352941178,0.17022509607379674
1932,0.14497549019607844,0.15112219117875
1933,0.011975490196078437,0.1405379545413504
1934,0.15447549019607842,0.13455172487436445
1935,0.12305882352941176,0.15104386780005338
1936,0.16705882352941176,0.1365955099310857
1937,0.3073088235294118,0.15910923920376216
1938,0.2973088235294118,0.1621478235027121
1939,0.29697549019607844,0.1433942699924466
1940,0.4113921568627451,0.21030533358270623
1941,0.29497549019607844,0.20789360259517367
1942,0.2316421568627451,0.25581259416481694
1943,0.26972549019607844,0.22855579187585687
1944,0.38272549019607843,0.18701804725747725
1945,0.28372549019607846,0.24513771639631465
1946,0.1656421568627451,0.2203862140274054
1947,0.22497549019607843,0.19463512872380806
1948,0.1588921568627451,0.20933366507404713
1949,0.1333921568627451,0.16372945163694078
1950,0.05822549019607845,0.14891776254026917
1951,0.21597549019607845,0.13578843838854615
1952,0.3125588235294118,0.1382024481211048
1953,0.37647549019607845,0.12480284451886504
1954,0.17264215686274512,0.11470324029134196
1955,0.09405882352941175,0.1266777407439839
1956,0.03089215686274513,0.10020229538289031
1957,0.25830882352941176,0.1256012208008611
1958,0.27655882352941175,0.09571703087747759
1959,0.25430882352941175,0.1004050131550545
1960,0.18597549019607845,0.08524670081592602
1961,0.2783921568627451,0.08809606498968423
1962,0.2188921568627451,0.09266022159841118
1963,0.2718921568627451,0.0993390658301154
1964,0.004558823529411782,0.09740294314512953
1965,0.11147549019607843,0.08857576794285593
1966,0.1705588235294118,0.08551218236797219
1967,0.18080882352941177,0.10369466395785916
1968,0.12414215686274511,0.08292215224735387
1969,0.26730882352941177,0.08042750358759952
1970,0.2191421568627451,0.07657621475802175
1971,0.10480882352941177,0.07095832110001851
1972,0.2321421568627451,0.06364353855655733
1973,0.3663921568627451,0.07373884096367847
1974,0.13530882352941176,0.0642624825747237
1975,0.1988088235294118,0.08296033188618923
1976,0.11972549019607845,0.0750838420256538
1977,0.4356421568627451,0.07428885066639095
1978,0.31622549019607843,0.05757676035809355
1979,0.3954754901960784,0.056053545828966066
1980,0.5309754901960785,0.060978821460132095
1981,0.5673088235294118,0.06176096393893691
1982,0.36055882352941176,0.057350530366626365
1983,0.5393088235294118,0.06578690345856587
1984,0.3715588235294118,0.06364091975031996
1985,0.3498088235294118,0.05875655991745376
1986,0.4450588235294118,0.062173815496021585
1987,0.5526421568627451,0.057229799929756874
1988,0.5955588235294117,0.06214365078858283
1989,0.47997549019607844,0.0561463860517012
1990,0.6776421568627451,0.060794736614282655
1991,0.6613088235294118,0.05983727934991698
1992,0.4633921568627451,0.06274551776820397
1993,0.5030588235294118,0.06314599485847591
1994,0.5629754901960785,0.06082899527911559
1995,0.726392156862745,0.06361341577581467
1996,0.6099754901960784,0.055525519658381706
1997,0.7417254901960785,0.06283510165504629
1998,0.8850588235294118,0.05020873098044469
1999,0.6475588235294117,0.060735080472491355
2000,0.6444754901960784,0.04765413588206869
2001,0.7959754901960785,0.05598288428915871
2002,0.8773921568627452,0.056330867796144116
2003,0.8628921568627451,0.05004331457181203
2004,0.7844754901960784,0.055230577279860714
2005,0.9521421568627452,0.04190664227382894
2006,0.8992254901960786,0.050545359167121696
2007,0.8966421568627452,0.04729429141027488
2008,0.7726421568627452,0.04498425650528563
2009,0.9073088235294118,0.05300943312279428
2010,0.9836421568627451,0.05376724529550185
2011,0.8590588235294118,0.059172065481385164
2012,0.8819754901960785,0.05205285775055967
2013,0.902142156862745,0.0607988486733096
2014,0.9646421568627452,0.05863730325768174
2015,1.1259754901960786,0.06336337007030692
2016,1.2609754901960784,0.06118210522693707
2017,1.1610588235294117,0.06444312738117748
2018,1.0817254901960784,0.0715914333795136
2019,1.1993921568627453,0.059956928985175136
2020,1.2377254901960784,0.06469222003713687
2021,1.0849754901960784,0.06564868620162935
2022,1.1350588235294117,0.06411383106111608
2023,1.443892156862745,0.06854135004992729
2024,1.5117254901960784,0.074
2025,1.4045588235294117,0.06714412359494562
